1	Primaria	Para niños en cualquier grado de primaria
2	Secundaria	Para niños en cualquier grado de secundaria
3	Kinder	Para niños en cualquier grado de kinder
4	Primaria Mayor	Para niños en 4to, 5to y 6to de primaria
5	Primaria Menor	Para niños en 1ro, 2do y 3ro de primaria 
6	Primero de Primaria	Para niños en 1ro de primaria
7	Segundo de Primaria	Para niños en 2do de primaria
8	Primero de Secundaria	Para niños en 1ro de secundaria
9	Segundo de Secundaria	Para niños en 2do de secundaria
10	Tercero de Secundaria 	Para niños en 3ro de secundaria
